Molecule ChEMBL ID,Standard Type,Standard Value,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D1_C_S,APC2D2_C_C,APC2D2_C_N,APC2D2_C_O,APC2D2_C_S,APC2D2_C_X,APC2D2_N_N,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D3_C_X,APC2D3_N_N,APC2D3_N_S,APC2D4_C_C,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D4_C_Cl,APC2D4_C_X,APC2D4_N_N,APC2D4_N_O,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_C_X,APC2D5_N_N,APC2D5_N_O,APC2D6_C_C,APC2D6_C_N,APC2D6_C_O,APC2D6_C_S,APC2D6_C_Cl,APC2D6_C_X,APC2D6_N_O,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_S,APC2D7_C_Cl,APC2D7_C_X,APC2D7_O_O,APC2D8_C_C,APC2D8_C_N,APC2D8_C_O,APC2D8_C_X,APC2D8_N_N,APC2D8_N_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_C_S,APC2D9_N_N,APC2D10_C_C,APC2D10_C_N,APC2D10_C_O,APC2D10_C_S,KRFPC1,KRFPC297,KRFPC298,KRFPC341,KRFPC383,KRFPC467,KRFPC669,KRFPC677,KRFPC758,KRFPC2975,KRFPC3058,KRFPC3150,KRFPC3224,KRFPC3369,KRFPC3396,KRFPC3402,KRFPC3440,KRFPC3540,KRFPC3593,KRFPC3640,KRFPC3659,KRFPC3660,KRFPC3661,KRFPC3662,KRFPC3682,KRFPC3692,KRFPC3706,KRFPC3712,KRFPC3717,KRFPC3719,KRFPC3722,KRFPC3726,KRFPC3729,KRFPC3733,KRFPC3735,KRFPC3740,KRFPC3742,KRFPC3744,KRFPC3750,KRFPC3773,KRFPC3781,KRFPC3782,KRFPC3788,KRFPC3789,KRFPC3882,KRFPC3926,KRFPC3956,KRFPC4264,KRFPC4331,SubFPC1,SubFPC2,SubFPC3,SubFPC137,SubFPC181,SubFPC184,SubFPC274,SubFPC275,SubFPC279,SubFPC280,SubFPC287,SubFPC295,SubFPC300,SubFPC301,SubFPC302,SubFPC307
CHEMBL3715825,IC50,99.0,14.0,10.0,1.0,2.0,19.0,11.0,1.0,3.0,0.0,2.0,14.0,14.0,3.0,0.0,0.0,1.0,2.0,12.0,12.0,3.0,2.0,0.0,0.0,2.0,1.0,15.0,5.0,3.0,1.0,0.0,2.0,2.0,14.0,7.0,2.0,3.0,0.0,0.0,1.0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,9.0,2.0,0.0,1.0,0.0,8.0,4.0,0.0,1.0,2.0,6.0,3.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,7.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,4.0,14.0,5.0,0.0,0.0,2.0,13.0,11.0,11.0,4.0,15.0
CHEMBL3716936,IC50,4100.0,13.0,12.0,1.0,2.0,17.0,13.0,1.0,3.0,0.0,3.0,14.0,13.0,3.0,0.0,0.0,1.0,2.0,12.0,14.0,3.0,2.0,0.0,0.0,1.0,1.0,16.0,3.0,2.0,1.0,0.0,4.0,2.0,11.0,10.0,2.0,3.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0,0.0,0.0,9.0,6.0,0.0,1.0,2.0,8.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,6.0,19.0,6.0,0.0,0.0,2.0,15.0,9.0,9.0,6.0,17.0
CHEMBL3716639,IC50,160.0,13.0,10.0,1.0,2.0,17.0,12.0,1.0,3.0,0.0,2.0,14.0,12.0,3.0,0.0,0.0,2.0,2.0,11.0,13.0,4.0,2.0,0.0,0.0,1.0,1.0,16.0,4.0,2.0,1.0,0.0,2.0,3.0,13.0,9.0,2.0,3.0,0.0,0.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,2.0,0.0,6.0,3.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,14.0,5.0,0.0,0.0,2.0,13.0,10.0,10.0,3.0,15.0
CHEMBL3716376,IC50,26000.0,15.0,9.0,2.0,0.0,19.0,11.0,3.0,0.0,0.0,1.0,16.0,13.0,5.0,0.0,0.0,1.0,0.0,16.0,8.0,6.0,0.0,0.0,0.0,1.0,2.0,16.0,4.0,5.0,0.0,0.0,1.0,2.0,16.0,6.0,5.0,0.0,0.0,0.0,1.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,0.0,1.0,0.0,9.0,3.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,4.0,6.0,2.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,9.0,3.0,3.0,3.0,2.0,11.0,16.0,16.0,4.0,15.0
CHEMBL4562809,IC50,4790.0,24.0,5.0,3.0,0.0,37.0,5.0,5.0,0.0,0.0,0.0,40.0,7.0,9.0,0.0,0.0,0.0,0.0,37.0,6.0,11.0,0.0,0.0,0.0,0.0,1.0,35.0,4.0,10.0,0.0,0.0,0.0,1.0,29.0,3.0,9.0,0.0,0.0,0.0,0.0,22.0,3.0,8.0,0.0,0.0,0.0,2.0,16.0,4.0,5.0,0.0,0.0,1.0,14.0,4.0,4.0,0.0,1.0,11.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,18.0,1.0,0.0,0.0,6.0,8.0,8.0,8.0,2.0,20.0
CHEMBL4439067,IC50,1266.0,26.0,3.0,3.0,0.0,36.0,4.0,5.0,0.0,2.0,0.0,38.0,7.0,9.0,0.0,2.0,0.0,0.0,34.0,6.0,10.0,0.0,3.0,3.0,0.0,1.0,30.0,5.0,9.0,0.0,3.0,0.0,1.0,25.0,3.0,9.0,0.0,4.0,4.0,0.0,21.0,2.0,7.0,0.0,3.0,3.0,2.0,17.0,3.0,7.0,1.0,0.0,0.0,13.0,6.0,2.0,0.0,0.0,10.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,18.0,1.0,3.0,3.0,6.0,6.0,7.0,7.0,2.0,21.0
CHEMBL4458873,IC50,586.1,26.0,3.0,2.0,0.0,38.0,4.0,3.0,0.0,0.0,0.0,41.0,7.0,6.0,0.0,0.0,0.0,0.0,37.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,8.0,0.0,0.0,0.0,1.0,31.0,3.0,6.0,0.0,0.0,0.0,0.0,26.0,2.0,5.0,0.0,0.0,0.0,1.0,17.0,3.0,4.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,10.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,18.0,1.0,0.0,0.0,6.0,5.0,7.0,7.0,2.0,19.0
CHEMBL3716415,IC50,16000.0,16.0,8.0,1.0,2.0,22.0,9.0,1.0,3.0,0.0,1.0,17.0,12.0,3.0,1.0,0.0,0.0,1.0,15.0,10.0,4.0,2.0,0.0,0.0,1.0,0.0,16.0,4.0,3.0,1.0,0.0,2.0,2.0,15.0,6.0,2.0,3.0,0.0,0.0,1.0,17.0,5.0,2.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,2.0,6.0,3.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,7.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,14.0,4.0,0.0,0.0,2.0,11.0,11.0,11.0,4.0,16.0
CHEMBL3717532,IC50,63.0,16.0,14.0,1.0,2.0,22.0,17.0,1.0,3.0,0.0,2.0,18.0,15.0,3.0,2.0,0.0,3.0,2.0,17.0,15.0,4.0,4.0,0.0,0.0,1.0,1.0,22.0,5.0,2.0,1.0,0.0,4.0,3.0,15.0,17.0,2.0,3.0,0.0,0.0,0.0,17.0,14.0,1.0,0.0,0.0,0.0,0.0,12.0,11.0,2.0,0.0,4.0,0.0,14.0,7.0,0.0,2.0,1.0,12.0,5.0,2.0,1.0,2.0,7.0,4.0,3.0,1.0,2.0,0.0,2.0,1.0,10.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,4.0,14.0,6.0,0.0,0.0,2.0,17.0,16.0,16.0,4.0,17.0
CHEMBL3717466,IC50,550.0,17.0,8.0,2.0,2.0,22.0,10.0,3.0,3.0,0.0,1.0,17.0,13.0,5.0,1.0,0.0,0.0,0.0,16.0,8.0,5.0,0.0,0.0,0.0,2.0,2.0,14.0,9.0,6.0,2.0,0.0,1.0,1.0,19.0,4.0,3.0,2.0,0.0,0.0,2.0,17.0,6.0,4.0,3.0,0.0,0.0,0.0,16.0,6.0,4.0,0.0,1.0,0.0,8.0,6.0,4.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,6.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,8.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,3.0,14.0,4.0,0.0,0.0,2.0,12.0,14.0,14.0,6.0,16.0
CHEMBL4458265,IC50,25.1,27.0,3.0,2.0,0.0,38.0,4.0,3.0,0.0,0.0,0.0,40.0,8.0,6.0,0.0,0.0,0.0,0.0,37.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,8.0,0.0,0.0,0.0,1.0,29.0,3.0,6.0,0.0,0.0,0.0,0.0,24.0,2.0,4.0,0.0,0.0,0.0,1.0,18.0,3.0,5.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,13.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,18.0,1.0,3.0,3.0,6.0,5.0,7.0,7.0,2.0,21.0
CHEMBL3718349,IC50,100000.0,18.0,9.0,5.0,2.0,25.0,11.0,6.0,3.0,1.0,1.0,21.0,12.0,10.0,0.0,2.0,1.0,2.0,16.0,15.0,13.0,2.0,0.0,1.0,1.0,2.0,26.0,4.0,7.0,2.0,0.0,1.0,4.0,24.0,7.0,6.0,3.0,0.0,2.0,1.0,21.0,9.0,6.0,0.0,0.0,2.0,2.0,13.0,7.0,9.0,3.0,1.0,0.0,14.0,3.0,8.0,2.0,0.0,15.0,2.0,6.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,11.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,4.0,6.0,4.0,1.0,3.0,3.0,5.0,4.0,2.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,3.0,14.0,4.0,0.0,0.0,2.0,16.0,14.0,14.0,6.0,18.0
CHEMBL56543,Thermal melting change,0.7,17.0,3.0,3.0,0.0,21.0,3.0,5.0,0.0,0.0,0.0,16.0,6.0,7.0,0.0,0.0,0.0,0.0,13.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,0.0,1.0,11.0,2.0,1.0,0.0,0.0,2.0,10.0,1.0,2.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,5.0,16.0
CHEMBL97162,Thermal melting change,0.7,17.0,9.0,3.0,0.0,25.0,9.0,2.0,0.0,2.0,2.0,23.0,13.0,4.0,0.0,2.0,1.0,0.0,23.0,14.0,3.0,0.0,0.0,1.0,1.0,0.0,27.0,12.0,1.0,0.0,1.0,1.0,2.0,25.0,10.0,5.0,0.0,0.0,1.0,1.0,23.0,7.0,6.0,0.0,0.0,2.0,0.0,16.0,4.0,6.0,2.0,0.0,1.0,8.0,2.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,4.0,17.0,4.0,0.0,0.0,0.0,12.0,9.0,9.0,2.0,16.0
CHEMBL259526,Thermal melting change,-1.1,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0
CHEMBL261720,Thermal melting change,-0.2,12.0,10.0,0.0,2.0,16.0,8.0,2.0,2.0,4.0,7.0,11.0,14.0,4.0,4.0,4.0,3.0,1.0,6.0,14.0,4.0,4.0,0.0,4.0,3.0,0.0,8.0,14.0,2.0,2.0,0.0,1.0,0.0,8.0,15.0,0.0,3.0,0.0,2.0,2.0,7.0,13.0,2.0,2.0,0.0,2.0,0.0,6.0,7.0,0.0,0.0,2.0,4.0,8.0,3.0,2.0,2.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,3.0,0.0,0.0,8.0,12.0,5.0,5.0,5.0,18.0
CHEMBL406375,Thermal melting change,-0.2,16.0,2.0,2.0,0.0,20.0,6.0,4.0,0.0,0.0,0.0,17.0,6.0,3.0,0.0,0.0,0.0,0.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,18.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,16.0
CHEMBL162,Thermal melting change,0.4,27.0,10.0,5.0,0.0,44.0,15.0,6.0,0.0,0.0,0.0,55.0,16.0,10.0,0.0,0.0,1.0,0.0,61.0,20.0,14.0,0.0,0.0,0.0,2.0,1.0,62.0,16.0,15.0,0.0,0.0,2.0,2.0,55.0,17.0,14.0,0.0,0.0,0.0,1.0,40.0,11.0,10.0,0.0,0.0,0.0,1.0,22.0,5.0,7.0,0.0,0.0,1.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,5.0,5.0,4.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,2.0,20.0,4.0,0.0,0.0,2.0,15.0,14.0,14.0,2.0,27.0
CHEMBL266487,Thermal melting change,-0.2,21.0,6.0,2.0,0.0,31.0,8.0,2.0,0.0,0.0,0.0,29.0,8.0,6.0,0.0,0.0,0.0,0.0,26.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,8.0,0.0,0.0,2.0,2.0,20.0,8.0,8.0,0.0,0.0,0.0,2.0,16.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,18.0,3.0,0.0,0.0,6.0,8.0,6.0,6.0,2.0,23.0
CHEMBL405992,Thermal melting change,-0.6,17.0,0.0,4.0,0.0,24.0,0.0,8.0,0.0,0.0,0.0,23.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,4.0,3.0,3.0,0.0,14.0
CHEMBL244948,Thermal melting change,-0.4,9.0,0.0,5.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,5.0,4.0,4.0,0.0,8.0
CHEMBL10,Thermal melting change,0.2,20.0,6.0,0.0,2.0,27.0,8.0,2.0,2.0,2.0,1.0,25.0,11.0,2.0,2.0,2.0,0.0,0.0,22.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,26.0,8.0,1.0,1.0,1.0,1.0,0.0,29.0,3.0,1.0,0.0,0.0,1.0,0.0,25.0,5.0,0.0,2.0,0.0,2.0,0.0,18.0,4.0,2.0,3.0,0.0,0.0,8.0,3.0,2.0,4.0,0.0,5.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,23.0,3.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,22.0
CHEMBL407391,Thermal melting change,0.5,2.0,11.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,4.0,4.0,9.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,4.0,0.0,0.0,0.0,11.0,4.0,4.0,1.0,7.0
CHEMBL258765,Thermal melting change,0.6,19.0,5.0,1.0,0.0,27.0,9.0,2.0,0.0,0.0,0.0,28.0,7.0,3.0,0.0,0.0,1.0,0.0,23.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,18.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,19.0,2.0,0.0,0.0,4.0,6.0,2.0,2.0,0.0,20.0
